,title,editor,id_order,year_month,order_total_paid,product_name
0,Netflix,"Netflix, Inc.",97471001,2020-06,7.99,netflix 1 ecran - streaming illimite (renouvellement automatique)
1,Netflix,"Netflix, Inc.",97756247,2020-06,11.99,netflix 2 ecrans - streaming illimite (renouvellement automatique)
2,Netflix,"Netflix, Inc.",97482686,2020-06,11.99,netflix 2 screens - unlimited streaming (renouvellement automatique)
3,Netflix,"Netflix, Inc.",99196090,2020-06,11.99,netflix 2 screens - unlimited streaming (renouvellement automatique)
4,Netflix,"Netflix, Inc.",99511555,2020-06,15.99,netflix 4 screens - unlimited streaming (renouvellement automatique)
5,Netflix,"Netflix, Inc.",98473441,2020-06,15.99,netflix 4 screens - unlimited streaming (renouvellement automatique)
6,Brawl Stars,Supercell,97462690,2020-06,2.29,30 gemmes
7,Brawl Stars,Supercell,99848271,2020-06,10.99,170 gemmes
8,Brawl Stars,Supercell,100344945,2020-06,10.99,170 gemmes
9,Brawl Stars,Supercell,97331736,2020-06,10.99,170 gemmes
10,Brawl Stars,Supercell,99472829,2020-06,10.99,170 gemmes
11,Candy Crush Saga,King,99448752,2020-06,2.29,extra small offer
12,Candy Crush Saga,King,98868807,2020-06,2.29,offer of 10 gold bars
13,Netflix,"Netflix, Inc.",97331981,2020-01,15.99,netflix 4 screens - unlimited streaming (renouvellement automatique)
14,Netflix,"Netflix, Inc.",99064445,2020-01,15.99,netflix 4 screens - unlimited streaming (renouvellement automatique)
15,Netflix,"Netflix, Inc.",98247945,2020-01,7.99,netflix essentiel (renouvellement automatique)
16,Netflix,"Netflix, Inc.",98944821,2020-01,11.99,netflix 2 screens - unlimited streaming (renouvellement automatique)
17,Netflix,"Netflix, Inc.",120550122,2020-01,11.99,netflix 2 screens - unlimited streaming (renouvellement automatique)
18,Netflix,"Netflix, Inc.",98910618,2020-01,15.99,netflix premium (renouvellement automatique)
19,Netflix,"Netflix, Inc.",98157272,2020-01,15.99,netflix premium (renouvellement automatique)
20,Brawl Stars,Supercell,108879788,2020-01,5.49,brawl lunaire
21,Brawl Stars,Supercell,98783164,2020-01,7.99,pack niveau 50
22,Brawl Stars,Supercell,98316845,2020-01,5.49,brawl lunaire
23,Brawl Stars,Supercell,98052170,2020-01,10.99,brawl lunaire
24,Brawl Stars,Supercell,98656399,2020-01,5.49,80 gemmes
25,Brawl Stars,Supercell,98655305,2020-01,2.29,30 gemmes
26,Clash Royale,Supercell,118593821,2020-01,2.29,offre speciale
27,Clash Royale,Supercell,100497742,2020-01,2.29,offre speciale
28,Clash Royale,Supercell,103863207,2020-01,2.29,offre speciale
29,Clash Royale,Supercell,100464909,2020-01,2.29,offre speciale
30,Clash Royale,Supercell,113024557,2020-01,1.09,quelques gemmes
31,Clash Royale,Supercell,108461916,2020-01,5.49,offre speciale
32,Clash Royale,Supercell,100100137,2020-01,2.29,offre speciale
33,Clash Royale,Supercell,108589181,2020-01,2.29,offre speciale
34,Clash Royale,Supercell,112891702,2020-01,2.29,offre speciale
35,Candy Crush Saga,King,97705982,2020-01,3.49,piggy bank
36,Candy Crush Saga,King,106785012,2020-01,1.09,extra small offer
37,Candy Crush Saga,King,98348054,2020-01,8.99,offer of 50 gold bars
38,Candy Crush Saga,King,98869628,2020-01,6.99,small offer
39,Candy Crush Saga,King,99040734,2020-01,2.29,extra small offer
40,Candy Crush Saga,King,99544616,2020-01,3.49,extra small offer
41,Candy Crush Saga,King,97705572,2020-01,3.49,extra small offer
42,Candy Crush Saga,King,98826913,2020-01,6.99,small offer
43,Candy Crush Saga,King,99511001,2020-01,2.29,extra small offer
44,Clash Royale,Supercell,107088510,2020-01,21.99,offre speciale
45,Clash Royale,Supercell,97711807,2020-01,5.49,pass royale
46,Candy Crush Saga,King,98825971,2020-01,6.99,small offer
47,Candy Crush Saga,King,99086377,2020-01,2.29,extra small offer
48,Candy Crush Saga,King,98667676,2020-01,2.29,offer of 10 gold bars
49,Netflix,"Netflix, Inc.",97438868,2020-06,7.99,netflix 1 screen - unlimited streaming (renouvellement automatique)
50,Netflix,"Netflix, Inc.",99641771,2020-06,11.99,2 ecrans a la fois (renouvellement automatique)
51,Netflix,"Netflix, Inc.",97380961,2020-06,11.99,netflix standard (renouvellement automatique)
52,Netflix,"Netflix, Inc.",107860285,2020-06,7.99,netflix 1 screen - unlimited streaming (renouvellement automatique)
53,Netflix,"Netflix, Inc.",97663319,2020-06,7.99,netflix essentiel (renouvellement automatique)
54,Netflix,"Netflix, Inc.",97381805,2020-06,11.99,netflix standard (renouvellement automatique)
55,Netflix,"Netflix, Inc.",97497383,2020-06,11.99,netflix 2 screens - unlimited streaming (renouvellement automatique)
56,Brawl Stars,Supercell,102968008,2020-06,10.99,170 gemmes
57,Brawl Stars,Supercell,100597502,2020-06,10.99,170 gemmes
58,Brawl Stars,Supercell,127705225,2020-06,5.49,80 gemmes
59,Brawl Stars,Supercell,103731624,2020-06,2.29,30 gemmes
60,Brawl Stars,Supercell,100234043,2020-06,10.99,170 gemmes
61,Brawl Stars,Supercell,97504433,2020-06,10.99,170 gemmes
62,Brawl Stars,Supercell,103731690,2020-06,2.29,30 gemmes
63,Brawl Stars,Supercell,103731622,2020-06,5.49,80 gemmes
64,Brawl Stars,Supercell,99715593,2020-06,2.29,30 gemmes
65,Brawl Stars,Supercell,103731633,2020-06,5.49,80 gemmes
66,Brawl Stars,Supercell,107408031,2020-06,10.99,170 gemmes
67,Clash Royale,Supercell,100494656,2020-06,21.99,offre speciale
68,Clash Royale,Supercell,99485990,2020-06,21.99,offre speciale
69,Clash Royale,Supercell,97671978,2020-06,5.49,pass royale
70,Clash Royale,Supercell,98669676,2020-06,5.49,pass royale
71,Clash Royale,Supercell,100714448,2020-06,5.49,pass royale
72,Candy Crush Saga,King,100025941,2020-06,1.09,extra small offer
73,Candy Crush Saga,King,97397492,2020-06,1.09,extra small offer
74,Netflix,"Netflix, Inc.",111678339,2020-09,7.99,netflix essentiel (renouvellement automatique)
75,Netflix,"Netflix, Inc.",112085817,2020-09,15.99,4 ecrans a la fois (renouvellement automatique)
76,Netflix,"Netflix, Inc.",112112163,2020-09,15.99,4 ecrans a la fois (renouvellement automatique)
77,Netflix,"Netflix, Inc.",112109104,2020-09,11.99,netflix 2 ecrans - streaming illimite (renouvellement automatique)
78,Netflix,"Netflix, Inc.",112291288,2020-09,15.99,netflix 4 ecrans - streaming illimite (renouvellement automatique)
79,Netflix,"Netflix, Inc.",111654095,2020-09,15.99,netflix 4 screens - unlimited streaming (renouvellement automatique)
80,Netflix,"Netflix, Inc.",111704207,2020-09,15.99,netflix 4 screens - unlimited streaming (renouvellement automatique)
81,Homescapes,Playrix,111540017,2020-09,2.29,pack novice
